ABW,Aruba,Aruban
AFG,Afghanistan,Afghan
AGO,Angola,Angolan
AIA,Anguilla,Anguillan
ALA,Åland Islands,Ålandic
ALB,Albania,Albanian
AND,Andorra,Andorran
ARE,United Arab Emirates,Emirati
ARG,Argentina,Argentine
ARM,Armenia,Armenian
ASM,American Samoa,American Samoan
ATA,Antarctica,Antartic
ATF,French Southern Territories,French Southern Territories
ATG,Antigua and Barbuda,Antiguan
AUS,Australia,Australian
AUT,Austria,Austrian
AZE,Azerbaijan,Azerbaijani
BDI,Burundi,Burundian
BEL,Belgium,Belgian
BEN,Benin,Beninese
BES, Sint Eustatius and Saba, Sint Eustatius and Saba
BFA,Burkina Fasoa,Burkinabè
BGD,Bangladesh,Bangladeshi
BGR,Bulgaria,Bulgarian
BHR,Bahrain,Bahraini
BHS,Bahamas,Bahamian
BIH,Bosnia and Herzegovina,Bosnian
BLM,Saint Barthélemy,Saint Barthélemian
BLR,Belarus,Belarusian
BLZ,Belize,Belizean
BMU,Bermuda,Bermudian
BOL,Bolivia,Bolivian
BRA,Brazil,Brazilian
BRB,Barbados,Barbadian
BRN,Brunei,Bruneian
BTN,Bhutan,Bhutanese
BVT,Bouvet Island,Bouvet Island
BWA,Botswana,Botswanan
CAF,Central African Republic,Central African
CAN,Canada,Canadian
CCK,Cocos (Keeling) Islands,Cocos Island
CHE,Switzerland,Swiss
CHL,Chile,Chilean
CHN,People's Republic of China,Chinese
CIV,Côte d' Ivoire,Ivorian
CMR,Cameroon,Cameroonian
COD,Democratic Republic of the Congo,DR Congo
COG,Republic of the Congo,R Congo
COK,Cook Islands,Cook Island
COL,Colombia,Colombian
COM,Comoros,Comorian
CPV,Cape Verde,Cape Verdean
CRI,Costa Rica,Costa Rican
CUB,Cuba,Cuban
CUW,Curaçao,Curaçaoan
CXR,Christmas Island,Christmas Island
CYM,Cayman Islands,Caymanian
CYP,Cyprus,Cypriot
CZE,Czech Republic,Czech
DEU,Germany,German
DJI,Djibouti,Djiboutian
DMA,Dominica,Dominicand
DNK,Denmark,Danish
DOM,Dominican Republic,Dominicane
DZA,Algeria,Algerian
ECU,Ecuador,Ecuadorian
EGY,Egypt,Egyptian
ERI,Eritrea,Eritrean
ESH,Western Sahara,Sahraw
ESP,Spain,Spanish
EST,Estonia,Estonian
ETH,Ethiopia,Ethiopian
FIN,Finland,Finnish
FJI,Fiji,Fijian
FLK,Falkland Islands,Falkland Island
FRA,France,French
FRO,Faroe Islands,Faroese
FSM,Federated States of Micronesia,Micronesian
GAB,Gabon,Gabonese
GBR,United Kingdom,British
GEO,Georgia,Georgian
GGY,Guernsey,Guernsey
GHA,Ghana,Ghanaian
GIB,Gibraltar,Gibraltar
GIN,Guinea,Guinean
GLP,Guadeloupe,Guadeloupe
GMB,Gambia,Gambian
GNB,Guinea-Bissau,Guinean
GNQ,Equatorial Guinea,Equatorial Guinean
GRC,Greece,Greek
GRD,Grenada,Grenadian
GRL,Greenland,Greenlandic
GTM,Guatemala,Guatemalan
GUF,French Guiana,French Guianese
GUM,Guam,Guamanian
GUY,Guyana,Guyanese
HKG,Hong Kong,Hong Kong
HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands
HND,Honduras,Honduran
HRV,Croatia,Croatian
HTI,Haiti,Haitian
HUN,Hungary,Hungarian
IDN,Indonesia,Indonesian
IMN,Isle of Man,Manx
IND,India,Indian
IOT,British Indian Ocean Territory,British Indian Ocean Territory
IRL,Ireland,Irish
IRN,Iran,Iranian
IRQ,Iraq,Iraqi
ISL,Iceland,Icelandic
ISR,Israel,Israeli
ITA,Italy,Italian
JAM,Jamaica,Jamaican
JEY,Jersey,Jersey
JOR,Jordan,Jordanian
JPN,Japan,Japanese
KAZ,Kazakhstan,Kazakhstani
KEN,Kenya,Kenyan
KGZ,Kyrgyzstan,Kyrgyzstani
KHM,Cambodia,Cambodian
KIR,Kiribati,Kiribati
KNA,Saint Kitts and Nevis,Kittitian
KOR,South Korea,South Korean
KWT,Kuwait,Kuwaiti
LAO,Laos,Laotian
LBN,Lebanon,Lebanese
LBR,Liberia,Liberian
LBY,Libya,Libyan
LCA,Saint Lucia,Saint Lucian
LIE,Liechtenstein,Liechtenstein
LKA,Sri Lanka,Sri Lankan
LSO,Lesotho,Basotho
LTU,Lithuania,Lithuanian
LUX,Luxembourg,Luxembourg
LVA,Latvia,Latvian
MAC,Macau,Macanese
MAF,Saint Martin,Saint Martiner
MAR,Morocco,Moroccan
MCO,Monaco,Monégasque
MDA,Moldova,Moldovan
MDG,Madagascar,Malagasy
MDV,Maldives,Maldivian
MEX,Mexico,Mexican
MHL,Marshall Islands,Marshallese
MKD,Republic of Macedonia,Macedonian
MLI,Mali,Malian
MLT,Malta,Maltese
MMR,Burma,Burmese
MNE,Montenegro,Montenegrin
MNG,Mongolia,Mongolian
MNP,Northern Marianas,Northern Marianan
MOZ,Mozambique,Mozambican
MRT,Mauritania,Mauritanian
MSR,Montserrat,Montserratian
MTQ,Martinique,Martiniquais
MUS,Mauritius,Mauritian
MWI,Malawi,Malawian
MYS,Malaysia,Malaysian
MYT,Mayotte,Mahoran
NAM,Namibia,Namibian
NCL,New Caledonia,New Caledonian
NER,Niger,Nigerien
NFK,Norfolk Island,Norfolk Island
NGA,Nigeria,Nigerian
NIC,Nicaragua,Nicaraguan
NIU,Niue,Niuean
NLD,Netherlands,Dutch
NOR,Norway,Norwegian
NPL,Nepal,Nepali
NRU,Nauru,Nauruan
NZL,New Zealand,New Zealand
OMN,Oman,Omani
PAK,Pakistan,Pakistani
PAN,Panama,Panamanian
PCN,Pitcairn Island,Pitcairn Island
PER,Peru,Peruvian
PHL,Philippines,Filipino
PLW,Palau,Palauan
PNG,Papua New Guinea,Papua New Guinean
POL,Poland,Polish
PRI,Puerto Rico,Puerto Rican
PRK,North Korea,North Korean
PRT,Portugal,Portuguese
PRY,Paraguay,Paraguayan
PSE,Palestinian territories,Palestinian
PYF,French Polynesia,French Polynesian
QAT,Qatar,Qatari
REU,Réunion,Réunionese
ROU,Romania,Romanian
RUS,Russia,Russian
RWA,Rwanda,Rwandan
SAU,Saudi Arabia,Saudi
SDN,Sudan,Sudanese
SEN,Senegal,Senegalese
SGP,Singapore,Singaporean
SGS,South Georgia and the South Sandwich Islands,South Georgian
SHN,Saint Helena,Saint Helenian
SJM,Svalbard and Jan Mayen,Svalbard and Jan Mayen
SLB,Solomon Islands,Solomon Island
SLE,Sierra Leone,Sierra Leonean
SLV,El Salvador,Salvadoran
SMR,San Marino,Sammarinese
SOM,Somalia,Somali
SPM,Saint-Pierre and Miquelon,Saint-Pierrais
SRB,Serbia,Serbian
SSD,South Sudan,South Sudanese
STP,São Tomé and Príncipe,São Toméan
SUR,Surinam,Surinamese
SVK,Slovakia,Slovak
SVN,Slovenia,Slovenian
SWE,Sweden,Swedish
SWZ,Swaziland,Swazi
SXM,Sint Maarten,Sint Maarten
SYC,Seychelles,Seychellois
SYR,Syria,Syrian
TCA,Turks and Caicos Islands,Turks and Caicos Islands
TCD,Chad,Chadian
TGO,Togo,Togolese
THA,Thailand,Thai
TJK,Tajikistan,Tajikistani
TKL,Tokelau,Tokelauan
TKM,Turkmenistan,Turkmen
TLS,East Timor,Timorese
TON,Tonga,Tongan
TTO,Trinidad and Tobago,Trinidadian
TUN,Tunisia,Tunisian
TUR,Turkey,Turkish
TUV,Tuvalu,Tuvaluan
TWN,Taiwan,Taiwanese
TZA,Tanzania,Tanzanian
UGA,Uganda,Ugandan
UKR,Ukraine,Ukrainian
UMI,United States Minor Outlying Islands,American
URY,Uruguay,Uruguayan
USA,United States,American
UZB,Uzbekistan,Uzbekistani
VAT,Vatican,Vatican
VCT,Saint Vincent and the Grenadines,Saint Vincentian
VEN,Venezuela,Venezuelan
VGB,British Virgin Islands,British Virgin Island
VIR,Virgin Islands,Virgin Island
VNM,Vietnam,Vietnamese
VUT,Vanuatu,Vanuatuan
